symbol,date,open,high,low,close,volume,amount,source,adjust,fetched_at
000807.SZ,2025-07-08,15.081,15.211,15.001,15.181,429844.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-09,15.591,15.751,15.201,15.261,542551.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-10,15.281,15.591,15.281,15.571,342165.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-11,15.561,15.801,15.441,15.581,367349.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-14,15.421,15.521,15.101,15.161,559297.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-15,15.131,15.181,14.861,15.001,399821.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-16,14.961,15.051,14.791,14.851,398018.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-17,14.851,15.101,14.851,14.991,346846.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-18,15.081,15.351,15.001,15.311,483706.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-21,15.471,16.081,15.451,16.051,687730.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-22,15.931,16.291,15.721,16.221,563054.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-23,16.261,16.291,15.671,15.741,513763.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-24,15.741,16.141,15.611,16.111,487405.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-25,15.991,16.111,15.681,15.711,385664.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-28,15.601,15.611,15.281,15.461,402268.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-29,15.381,15.631,15.361,15.511,303680.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-30,15.481,15.711,15.301,15.461,378967.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-07-31,15.321,15.351,14.801,14.861,598009.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-01,14.851,15.041,14.821,14.981,275502.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-04,14.871,15.111,14.851,15.071,278079.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-05,15.101,15.321,15.061,15.211,348568.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-06,15.181,15.431,15.131,15.401,290619.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-07,15.581,15.671,15.231,15.541,315962.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-08,15.421,16.171,15.411,16.171,710127.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-11,16.131,16.151,15.911,16.061,341690.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-12,16.041,16.271,15.851,16.081,318574.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-13,16.321,16.571,16.221,16.501,486707.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-14,16.381,16.541,16.251,16.321,371933.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-15,16.251,17.071,16.211,16.981,475022.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-18,16.851,17.081,16.591,16.621,450484.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-19,16.621,16.861,16.451,16.521,262355.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-20,16.451,16.801,16.401,16.651,285953.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-21,16.691,16.881,16.591,16.731,259674.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-22,16.701,16.811,16.551,16.731,258615.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-25,16.971,17.501,16.971,17.341,433938.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-26,17.781,18.451,17.541,18.141,704710.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-27,18.211,18.651,17.931,18.001,607768.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-28,17.831,18.071,17.411,17.911,437798.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-08-29,17.941,18.771,17.931,18.691,586689.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-01,18.691,18.831,18.211,18.711,538117.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-02,18.971,19.181,18.541,18.801,471439.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-03,18.951,18.961,18.181,18.451,447509.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-04,18.391,18.591,17.631,17.991,469885.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-05,17.931,18.501,17.901,18.481,445480.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-08,18.461,18.681,18.051,18.211,430808.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-09,18.301,18.461,17.931,18.101,300964.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-10,18.001,18.051,17.751,17.881,346749.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-11,17.951,18.691,17.911,18.661,439737.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-12,19.851,20.361,19.411,20.111,888057.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-15,19.971,20.461,19.851,20.031,608578.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-16,20.031,20.331,18.951,19.881,623947.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-17,19.671,20.301,19.601,20.211,493788.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-18,19.721,19.901,18.871,19.161,485812.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-19,19.221,19.561,19.161,19.361,300683.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-22,19.361,19.581,18.801,19.001,502839.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-23,19.011,19.091,18.121,18.551,520742.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-24,18.521,18.791,18.301,18.651,339927.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-25,18.971,19.071,18.401,18.711,473125.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-26,18.581,19.251,18.301,19.001,411881.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-29,19.201,19.641,19.031,19.551,423839.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-09-30,19.601,20.191,19.481,19.901,418298.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-09,20.601,21.011,19.961,20.941,846996.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-10,20.611,20.901,20.101,20.291,623710.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-13,19.361,20.171,19.351,20.071,556515.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-14,20.601,21.001,19.631,19.851,820437.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-15,19.961,20.511,19.651,20.201,573362.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-16,20.191,21.001,19.901,20.091,619610.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-17,20.421,20.841,19.881,19.981,595413.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-20,20.281,20.791,19.751,20.341,567525.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-21,20.581,21.571,20.221,21.301,667457.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-22,21.001,21.881,20.851,21.481,652580.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-23,21.611,22.431,21.561,22.231,663351.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-24,22.861,23.181,21.801,22.481,791327.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-27,21.801,22.771,21.521,22.501,1133641.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-28,22.451,22.661,21.501,21.571,712787.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-29,21.871,23.471,21.821,23.231,899476.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-30,22.931,23.581,22.771,23.201,692535.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
000807.SZ,2025-10-31,23.121,23.141,22.301,22.611,514911.0,,tushare-1.4.29,qfq,2026-07-08T19:38:03+08:00
